4751190, 4689935, 4807590, 4744237, 4820065, 4755735, 4798262, 4859487, 4740831, 4737752, 4799675, 4860883, 4559801, 4765361, 4664273, 4934431, 4778286, 4719213, 4894758, 4746992, 4785839, 4771533, 4781154, 4754527, 4861635, 4743412, 4727000, 4855594, 4741870, 4774566, 
18936553, 19012408, 19269320, 18607047, 19385983, 18672885, 19250435, 19180957, 18762467, 18921506, 18810985, 19027201, 18897106, 19098303, 18821708, 19149573, 18940676, 18891890, 19014023, 18859903, 18904809, 19177357, 19443490, 19214107, 18646431, 19029573, 19164740, 19115357, 19205709, 18936496, 
42451143, 42633403, 43052342, 43367974, 42732830, 42871515, 42574945, 43464704, 43341808, 42631538, 42794873, 43194939, 43122729, 41796564, 42166367, 42095906, 41575683, 42818085, 42714712, 42506212, 43319854, 42533312, 42298551, 42668727, 42865608, 42653361, 43175275, 42034541, 43197108, 42711168, 
76519257, 76130444, 75393770, 75010099, 76371125, 75246517, 75820281, 76268758, 74747206, 75621809, 75519183, 75646166, 76186480, 76307940, 76208006, 76723368, 75423021, 75491367, 75678782, 75895723, 76192639, 74950825, 76244045, 76011076, 75524589, 75994772, 74997407, 76557102, 76497710, 75672106, 
117996258, 117668540, 117692786, 117860545, 117962483, 118311657, 116936157, 118095590, 117692857, 117716709, 119200046, 118352846, 117433926, 118847965, 116702950, 118390981, 119164672, 118403114, 118277802, 117431327, 117858358, 116819747, 117578611, 116757770, 118440145, 117446938, 117815439, 119403531, 117498225, 119501550, 
173162921, 170540796, 171193698, 170127533, 171622709, 170188708, 171383695, 170630819, 172156605, 170853464, 170046617, 169995565, 171421523, 169777215, 168100488, 169065780, 171499949, 171960385, 169961240, 170293058, 169741900, 170008034, 168935223, 170886725, 169609482, 170614623, 169835228, 171808469, 172385440, 169559505, 
233435620, 231338925, 231801372, 231499539, 233464999, 230997014, 231437761, 233683859, 232287334, 234454775, 231238417, 231275742, 230857992, 231675719, 231411482, 232102871, 230542299, 233426289, 231451163, 235050621, 234033320, 231361243, 234002400, 231155632, 233623766, 232405323, 231117388, 233395933, 231191769, 231775825, 
302957588, 300955668, 301812014, 300585539, 299023236, 303715571, 299265904, 301122638, 304549152, 301317382, 302597577, 301128881, 302695890, 300728836, 300694171, 301102960, 301478758, 301305015, 302754656, 300800578, 303419318, 301533372, 300028352, 300434347, 302402620, 300399166, 301665235, 302692493, 301783443, 302924231, 
380886235, 378642471, 380937343, 382700945, 378258415, 378445661, 379948045, 376387058, 376719009, 377904957, 382425820, 379137232, 376268758, 377774389, 380543105, 379608546, 378506934, 378061083, 381480476, 380810077, 380621720, 377971118, 376815551, 378418238, 376614298, 378943502, 380884570, 380987330, 380067701, 380303487, 
464433453, 465574728, 464545546, 462048354, 464859895, 465618832, 465690263, 466508462, 463847645, 462290348, 464232073, 465924183, 465351644, 463351848, 467306725, 463318850, 465246124, 466035992, 464244479, 467502477, 464807968, 461435352, 463685879, 467557320, 462119251, 465161108, 465622631, 466143646, 468486777, 464028604, 
