week;weekday;hour;mbits
2nd_week;sunday;15;458,5
2nd_week;sunday;16;700,6
2nd_week;sunday;17;343,2
2nd_week;sunday;18;381,6
2nd_week;sunday;19;436,5
2nd_week;sunday;20;145
2nd_week;sunday;21;15,3
2nd_week;sunday;22;291,5
2nd_week;sunday;23;18,8
2nd_week;monday;0;53,2
2nd_week;monday;1;134,7
2nd_week;monday;2;145,1
2nd_week;monday;3;3,1
2nd_week;monday;4;27,2
2nd_week;monday;5;3,6
2nd_week;monday;6;72,2
2nd_week;monday;7;171,3
2nd_week;monday;8;493,1
2nd_week;monday;9;516
2nd_week;monday;10;454
2nd_week;monday;11;131,8
2nd_week;monday;12;667,7
2nd_week;monday;13;2151,1
2nd_week;monday;14;139,2
2nd_week;monday;15;1955,3
2nd_week;monday;16;10,4
2nd_week;monday;17;1758,1
2nd_week;monday;18;1656,7
2nd_week;monday;19;243,2
2nd_week;monday;20;1714,3
2nd_week;monday;21;1109,9
2nd_week;monday;22;30,7
2nd_week;monday;23;1000,8
2nd_week;tuesday;0;44,4
2nd_week;tuesday;1;4,2
2nd_week;tuesday;2;56,3
2nd_week;tuesday;3;87,7
2nd_week;tuesday;4;83,7
2nd_week;tuesday;5;14,1
2nd_week;tuesday;6;0,3
2nd_week;tuesday;7;305,7
2nd_week;tuesday;8;1171,2
2nd_week;tuesday;9;522,4
2nd_week;tuesday;10;1119,8
2nd_week;tuesday;11;1640,3
2nd_week;tuesday;12;102,5
2nd_week;tuesday;13;619,3
2nd_week;tuesday;14;3168,6
2nd_week;tuesday;15;1342,3
2nd_week;tuesday;16;25,2
2nd_week;tuesday;17;1074,4
2nd_week;tuesday;18;626,5
2nd_week;tuesday;19;1102,4
2nd_week;tuesday;20;1391,1
2nd_week;tuesday;21;1377
2nd_week;tuesday;22;779,7
2nd_week;tuesday;23;156,7
2nd_week;wednesday;0;76,8
2nd_week;wednesday;1;14,2
2nd_week;wednesday;2;139,4
2nd_week;wednesday;3;41,7
2nd_week;wednesday;4;35,9
2nd_week;wednesday;5;90,9
2nd_week;wednesday;6;59
2nd_week;wednesday;7;257
2nd_week;wednesday;8;6,1
2nd_week;wednesday;9;648,7
2nd_week;wednesday;10;957,9
2nd_week;wednesday;11;244,8
2nd_week;wednesday;12;1094,9
2nd_week;wednesday;13;788,9
2nd_week;wednesday;14;2172,2
2nd_week;wednesday;15;614,6
2nd_week;wednesday;16;460,9
2nd_week;wednesday;17;702,6
2nd_week;wednesday;18;2365,9
2nd_week;wednesday;19;2242,3
2nd_week;wednesday;20;1290,7
2nd_week;wednesday;21;588,7
2nd_week;wednesday;22;1690,8
2nd_week;wednesday;23;843,3
2nd_week;thursday;0;122,6
2nd_week;thursday;1;21,4
2nd_week;thursday;2;98,6
2nd_week;thursday;3;51,2
2nd_week;thursday;4;111
2nd_week;thursday;5;24,3
2nd_week;thursday;6;67,8
2nd_week;thursday;7;939,2
2nd_week;thursday;8;390,1
2nd_week;thursday;9;2144,8
2nd_week;thursday;10;2212,3
2nd_week;thursday;11;704,2
2nd_week;thursday;12;48,7
2nd_week;thursday;13;268,6
2nd_week;thursday;14;2330,8
2nd_week;thursday;15;540,9
2nd_week;thursday;16;2086,5
2nd_week;thursday;17;1735,9
2nd_week;thursday;18;2185,9
2nd_week;thursday;19;909,1
2nd_week;thursday;20;2033,4
2nd_week;thursday;21;1597,8
2nd_week;thursday;22;1530,7
2nd_week;thursday;23;510,3
2nd_week;friday;0;40,1
2nd_week;friday;1;68,1
2nd_week;friday;2;40,6
2nd_week;friday;3;138
2nd_week;friday;4;20
2nd_week;friday;5;50,4
2nd_week;friday;6;39,6
2nd_week;friday;7;185,6
